Genus,Importer,Exporter,Term,Purpose,Source
Aquila,TR,NL,bodies,T,C
Aquila,XV,RS,bodies,Q,O
Haliaeetus,BE,NO,feathers,S,W
Haliaeetus,BE,NO,specimens,S,W
Haliaeetus,DK,IS,specimens,S,W
Haliaeetus,XV,RS,bodies,Q,O
Harpia,BR,FR,feathers,S,C
Harpia,BR,FR,feathers,S,U
Harpia,BR,FR,feathers,S,W
Acipenser,CH,DE,live,T,C
Acipenser,US,IR,caviar,P,I
Ailurus,AU,NZ,live,Z,C
Ailurus,CA,US,live,Z,F
Ailurus,IL,DE,live,Z,C
Ailurus,JP,US,live,B,C
Ailurus,JP,US,live,Z,C
Ailurus,KP,CN,bodies,E,U
Ailurus,KR,CN,specimens,E,C
Ailurus,KR,JP,live,Z,C
Ailurus,US,CA,live,Z,C
Alligator,KP,CN,bodies,E,U
Melanosuchus,US,DK,live,Z,F
Anas,CA,US,feathers,S,I
Anas,MC,FR,live,Z,I
Asarcornis,GB,JE,bodies,S,C
Asarcornis,GB,JE,bodies,S,C
Branta,CN,GB,bodies,Q,C
Branta,MC,FR,live,Z,I
Branta,SG,NL,live,T,C
Branta,SG,NL,live,Z,C
Branta,ZA,NL,live,T,C
Antilocapra,BE,CH,skins,Q,O
Antilocapra,CH,BE,skins,Q,O
Pachypodium,JP,NL,live,T,D
Pachypodium,JP,TH,live,T,D
Araucaria,BE,CL,live,T,A
Araucaria,BE,CL,live,T,D
Araucaria,CH,BE,live,T,A
Araucaria,CH,DE,live,T,A
Araucaria,CH,IT,live,T,D
Araucaria,JP,NL,live,T,D
Araucaria,NL,CL,live,T,A
Araucaria,NL,CL,live,T,D
Araucaria,US,NL,seeds,T,D
Oreonax,DE,PE,hair,S,W
Oreonax,DE,PE,specimens,S,W
Balaena,AT,CH,carvings,S,O
Balaena,AT,CH,carvings,S,W
Balaena,CA,GL,specimens,S,W
Balaena,CA,US,baleen,P,I
Balaena,CA,US,baleen,P,W
Balaena,CA,US,bone pieces,P,I
Balaena,DE,CH,carvings,P,O
Balaena,DE,RU,carvings,Q,O
Balaena,DK,GL,baleen,P,W
Balaena,NL,NO,specimens,S,W
Balaena,NL,US,carvings,Q,O
Balaena,NO,GL,specimens,S,W
Balaena,RU,US,specimens,S,W
Balaena,US,CA,baleen,P,W
Balaena,US,CA,bone carvings,P,O
Balaena,US,NL,bone carvings,Q,O
Balaena,US,NL,carvings,Q,O
,FR,TN,specimens,E,O
,XX,TN,specimens,E,O
Eubalaena,FR,CH,carvings,Q,O
Eubalaena,FR,TN,teeth,E,O
Eubalaena,XX,TN,specimens,E,O
Eubalaena,GB,US,specimens,S,W
Eubalaena,JP,ZZ,skin pieces,S,X
Eubalaena,XX,TN,specimens,E,O
Eubalaena,CA,US,skin pieces,S,W
Balaenoptera,NL,CV,baleen,S,U
Balaenoptera,NL,CV,specimens,S,U
Balaenoptera,FO,NO,meat,T,W
Balaenoptera,IS,NO,specimens,S,W
Balaenoptera,JP,NO,meat,T,W
Balaenoptera,JP,ZZ,skin pieces,S,X
Balaenoptera,KR,CN,specimens,E,W
Balaenoptera,US,AU,specimens,S,W
Balaenoptera,US,DE,meat,P,I
Balaenoptera,US,FI,meat,P,I
Balaenoptera,US,IS,meat,P,I
Balaenoptera,US,IS,meat,P,I
Balaenoptera,US,IS,meat,P,I
Balaenoptera,US,NO,meat,P,I
Balaenoptera,US,NO,meat,P,I
Balaenoptera,US,NO,meat,P,I
Balaenoptera,US,NO,meat,P,I
Balaenoptera,US,NO,meat,P,W
Balaenoptera,US,NO,meat,T,I
Balaenoptera,US,RU,bone carvings,P,I
Balaenoptera,US,SE,meat,P,I
Balaenoptera,US,XX,meat,P,I
Balaenoptera,JP,ZZ,bodies,S,X
Balaenoptera,JP,ZZ,skin pieces,S,X
Balaenoptera,US,AQ,skins,S,W
Balaenoptera,US,CA,baleen,P,W
Balaenoptera,DE,CL,specimens,S,W
Balaenoptera,JP,ZZ,bodies,S,X
Balaenoptera,JP,ZZ,skin pieces,S,X
Balaenoptera,US,AU,specimens,S,W
Balaenoptera,US,JP,specimens,S,W
Balaenoptera,US,JP,specimens,S,W
Balaenoptera,JP,ZZ,bodies,S,X
Balaenoptera,JP,ZZ,skin pieces,S,X
Balaenoptera,US,JP,specimens,S,W
Balaenoptera,US,JP,specimens,S,W
Balaenoptera,ES,IS,skin pieces,S,W
Balaenoptera,JP,ZZ,skin pieces,S,X
Balaenoptera,NL,NO,specimens,S,W
Balaenoptera,US,JP,meat,P,I
